Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,FT_Result,HomeTeam_Elo,AwayTeam_Elo,Home_Strength,Away_Strength,H2H_Home_Wins,H2H_Away_Wins,H2H_Draws,Home_vs_Away_Wins,Home_vs_Away_Draws,Home_vs_Away_Avg_Goals,H2H_Avg_Home_Goals,H2H_Avg_Away_Goals,Home_Team_Rank,Away_Team_Rank
1993-08-28,1993,Liverpool,Leeds,2,0,H,1,1538.249242319866,1471.255802360211,721.1124670902216,-394.0315148968878,0,0,0,0,0,0,1.7777777777777777,1.4074074074074074,9,5
1993-08-28,1993,West Ham,QPR,0,4,A,-1,1472.3306665937232,1486.4720334408407,-393.0905398250095,-769.0247165787841,0,0,0,0,0,0,1.1111111111111112,0.8888888888888888,13,8
1993-08-29,1993,Newcastle,Blackburn,1,1,D,0,1493.2687501988944,1525.422053477327,-379.6429339338985,731.6727670948787,0,0,0,0,0,0,1.4516129032258065,1.032258064516129,3,2
1993-08-30,1993,Leeds,Oldham,1,0,H,1,1486.9430197258755,1471.497320393853,-622.8750603814835,-311.7527569759793,0,0,0,0,0,0,1.0,0.0,5,21
1993-08-31,1993,Ipswich,Newcastle,1,1,D,0,1523.4424079687676,1494.6263383797134,579.2943615613108,-303.7143471471188,0,0,0,0,0,0,1.125,1.0,19,3
1993-08-31,1993,Wimbledon,Southampton,1,0,H,1,1510.437470848154,1445.9710171061847,-3.489327920804544,-928.2863384045074,0,0,0,0,0,0,1.0,1.0,6,18
1993-08-31,1993,Everton,Aston Villa,0,1,A,-1,1495.569507354594,1530.3700014228186,284.089034952215,291.23284098928826,0,0,0,0,0,0,1.5789473684210527,1.105263157894737,17,10
1993-09-01,1993,Sheffield Weds,Norwich,3,3,D,0,1461.36848750637,1526.1008120796987,-903.7448317264867,601.6608437120447,0,0,0,0,0,0,1.3333333333333333,1.3333333333333333,7,12
1993-09-01,1993,Swindon,Man City,1,3,A,-1,1431.9080367510999,1475.2419756025429,-1205.5083683173932,-913.8865894676971,0,0,0,0,0,0,1.0,3.0,22,16
1993-09-01,1993,Tottenham,Chelsea,1,1,D,0,1511.9494837460684,1488.4276480626943,292.8621422518357,-317.23249331633446,0,0,0,0,0,0,1.5483870967741935,1.2096774193548387,15,14
1993-09-01,1993,Man United,West Ham,3,0,H,1,1565.4319422020685,1460.7885748272263,1188.7303982302788,-611.7668385481758,0,0,0,0,0,0,1.7142857142857142,1.0535714285714286,1,13
1993-09-01,1993,Blackburn,Arsenal,1,1,D,0,1526.2539797725037,1543.879307942158,585.338213675903,890.1012430426329,0,0,0,0,0,0,1.606060606060606,1.303030303030303,2,4
1993-09-01,1993,Coventry,Liverpool,1,0,H,1,1537.3352134991292,1522.531749778406,591.2583989521332,871.1411341442196,0,0,0,0,0,0,1.2666666666666666,0.8666666666666667,11,9
1993-09-01,1993,QPR,Sheffield United,2,1,H,1,1502.2046064224749,1487.7210986075986,-320.75363994428267,-18.112584566615716,0,0,0,0,0,0,2.0,1.0,8,20
1993-09-11,1993,Chelsea,Man United,1,0,H,1,1506.6988027413615,1547.1607875234013,-14.232493316334466,1183.8881131957244,0,0,0,0,0,0,1.4838709677419355,1.0806451612903225,14,1
1993-09-11,1993,Arsenal,Ipswich,4,0,H,1,1557.9979922730297,1509.323723637896,1193.1012430426329,282.2943615613108,0,0,0,0,0,0,1.625,1.375,4,19
1993-09-11,1993,Southampton,Leeds,0,2,A,-1,1432.731766108214,1500.1822707238462,-927.3738325741384,-328.5755963027129,0,0,0,0,0,0,1.037037037037037,0.8888888888888888,18,5
1993-09-11,1993,Man City,QPR,3,0,H,1,1491.4037146979756,1486.0428673270421,-627.5049821174773,279.79057977723716,0,0,0,0,0,0,1.8181818181818181,1.2727272727272727,16,8
1993-09-11,1993,Norwich,Wimbledon,0,1,A,-1,1510.4250290492948,1526.1132538785578,904.6608437120447,-11.295124499567601,0,0,0,0,0,0,1.3333333333333333,0.6666666666666666,12,6
1993-09-11,1993,West Ham,Swindon,0,0,D,0,1459.544565711295,1433.1520458670311,-621.8532269885894,-1197.5567634379017,0,0,0,0,0,0,0.0,0.0,13,22
1993-09-11,1993,Aston Villa,Coventry,0,0,D,0,1530.670673521724,1537.0345414002238,293.34674246020705,598.7647489078145,0,0,0,0,0,0,1.1333333333333333,1.2666666666666666,10,11
1993-09-11,1993,Sheffield United,Tottenham,2,2,D,0,1488.7654297815257,1510.9051525721413,-615.5535058511107,-4.1378577481643335,0,0,0,0,0,0,2.111111111111111,1.2222222222222223,20,15
1993-09-11,1993,Oldham,Everton,0,1,A,-1,1457.5349404286444,1509.5318873198025,-306.1413609211544,-318.9849653323487,0,0,0,0,0,0,0.0,1.0,21,17
1993-09-12,1993,Liverpool,Blackburn,0,1,A,-1,1507.6924452171854,1541.0932843337243,266.67409144439364,288.33821367590303,0,0,0,0,0,0,1.606060606060606,1.0,9,2
1993-09-13,1993,Newcastle,Sheffield Weds,4,2,H,1,1508.1948511279697,1447.7999747581136,-0.7143471471187695,-600.7448317264867,0,0,0,0,0,0,1.8461538461538463,1.0,3,7
1993-09-18,1993,QPR,Norwich,2,2,D,0,1487.0938051846365,1509.3740911917005,287.25143788550884,299.69659188846634,0,0,0,0,0,0,2.142857142857143,1.7142857142857142,8,12
